# timestamp, temp_f, humidity_pct, pressure_hpa, lux, soil_temp_f, soil_moisture_raw, rain, voltage, current_ma
2026-06-01 00:00:02, 62.0, 59.5, 988.4, -1.1, 69.3, 16122, 0, 5.08, 212.4
2026-06-01 00:30:02, 61.9, 59.9, 988.6, -1.1, 68.6, 16105, 0, 5.092, 140.7
2026-06-01 01:00:02, 59.8, 67.4, 988.7, -1.1, 67.9, 16079, 0, 5.088, 173.1
2026-06-01 01:30:02, 59.0, 69.1, 988.8, -1.1, 67.2, 16072, 0, 5.092, 140.7
2026-06-01 02:00:02, 58.6, 70.4, 989.1, -1.1, 66.7, 16065, 0, 5.088, 147.9
2026-06-01 02:30:02, 58.2, 73.9, 989.0, -1.1, 66.2, 16059, 0, 5.088, 141.2
2026-06-01 03:00:02, 58.1, 73.7, 988.6, -1.1, 65.8, 16044, 0, 5.088, 163.5
2026-06-01 03:30:02, 53.8, 75.3, 988.4, -1.1, 65.4, 16029, 0, 5.092, 170.5
2026-06-01 04:00:02, 57.1, 77.3, 988.5, -1.1, 65.0, 16016, 0, 5.076, 168.7
2026-06-01 04:30:02, 55.8, 81.9, 988.2, -1.1, 64.5, 15998, 0, 5.084, 174.1
2026-06-01 05:00:03, 55.0, 85.3, 988.3, -1.1, 64.1, 15997, 0, 5.092, 138.8
2026-06-01 05:30:02, 54.5, 86.7, 988.4, -1.1, 63.6, 15979, 0, 5.088, 173.5
2026-06-01 06:00:02, 53.6, 89.0, 988.6, 123.2, 63.2, 15971, 0, 5.088, 164.0
2026-06-01 06:30:02, 53.6, 89.9, 989.0, 628.2, 62.7, 15960, 0, 5.092, 141.3
